district,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic
11,7.416887,81.789107,88,339.2,6,1,0,1,3,906,25.0,0,140.8,107.1,0.35,-0.378,0.504,0,0,12,2.76,2.74,39.56,0,0,0,10,1
16,6.266956,81.041369,58,1257.6,0,0,0,1,0,439,27.5,0,126.6,177.6,0.36,-0.175,-0.092,1,0,46,1.61,8.45,30.64,0,0,1,9,1
23,6.742164,80.927326,80,5225.3,2,4,4,1,3,136,3.7,0,155.1,242.2,0.728,0.455,-0.211,1,0,30,4.4,3.01,35.6,0,0,1,9,1
21,5.922365,81.484788,111,2950.4,5,3,2,0,1,729,16.3,1,10.1,171.6,0.288,0.439,-0.259,1,0,58,11.44,4.94,17.44,0,0,1,9,1
16,7.899872,80.826149,26,228.3,0,4,4,1,1,431,21.6,0,36.1,436.5,0.435,-0.007,0.229,0,1,45,17.85,4.65,61.92,0,0,0,0,1
5,6.394456,80.45167,34,2086.5,2,4,4,0,1,1730,27.6,1,19.5,93.4,0.87,0.666,-0.212,1,0,45,9.97,0.96,12.71,0,0,1,9,1
21,6.980463,81.847384,23,846.5,2,1,4,0,0,424,45.8,0,145.3,165.7,0.382,0.7,0.305,0,0,32,1.31,4.26,41.71,0,0,1,9,1
4,6.065139,80.979509,43,2072.2,0,1,1,0,1,1534,55.7,1,13.2,142.9,0.558,0.427,-0.081,1,0,56,18.45,6.02,16.93,0,0,1,9,1
15,7.029429,81.225805,843,1036.7,0,0,1,0,1,481,35.4,0,203.1,177.1,0.112,0.004,0.336,0,0,26,2.95,4.69,43.12,0,0,0,10,1
24,6.97407,80.198977,45,4452.1,2,4,4,0,1,552,41.8,0,103.0,45.9,0.838,0.471,-0.031,1,1,73,15.34,2.09,14.54,0,0,1,9,1
7,7.183534,80.031359,92,2381.7,6,0,1,0,0,477,4.1,0,72.3,257.2,0.779,0.446,0.429,0,2,49,5.57,9.61,30.18,0,0,1,9,1
24,6.187311,80.542764,54,1154.2,5,4,1,2,3,327,1.0,1,156.1,256.7,0.176,0.294,0.303,0,0,37,4.24,7.21,41.59,0,0,1,9,1
14,9.852201,80.811676,112,631.7,5,0,1,2,0,261,5.7,1,50.8,8.0,0.376,-0.303,-0.315,1,0,56,10.71,4.85,6.67,0,0,1,9,1
6,6.09325,80.923584,9,197.8,0,0,4,0,1,1368,59.0,1,108.0,200.3,0.466,0.486,0.293,0,1,69,1.1,10.0,53.68,0,0,1,9,1
10,9.712932,80.518731,912,147.7,5,1,2,0,1,1188,62.7,1,22.8,352.3,0.595,0.257,0.138,0,2,47,3.72,8.99,48.12,0,0,1,9,1
19,9.411822,80.9142,1105,2693.4,2,1,4,0,1,116,8.7,0,47.4,262.7,0.765,-0.491,0.05,1,0,45,1.91,17.53,24.92,0,0,1,9,1
3,9.097953,79.855214,8,1594.9,0,4,0,0,3,447,37.6,0,48.2,68.4,0.632,0.151,-0.118,1,0,44,34.52,2.81,24.28,0,0,1,9,1
11,9.191838,81.781309,6,3002.5,3,3,0,0,1,385,1.0,0,185.6,90.8,0.431,0.143,0.123,0,0,61,2.69,12.18,38.97,0,0,1,9,1
19,9.801051,79.677348,827,9913.7,1,4,4,0,0,745,21.8,0,1.8,544.5,0.36,0.344,-0.21,1,0,29,3.49,5.26,50.14,0,0,0,10,1
16,6.952797,80.669792,153,632.0,2,3,1,0,3,10,17.8,0,111.9,2.9,0.557,0.732,0.343,0,0,27,14.14,5.05,14.05,0,0,0,10,1
6,6.049129,79.951167,70,2771.9,4,0,2,0,1,2455,48.3,1,124.6,95.0,0.285,0.036,0.0,1,0,52,14.24,2.21,24.74,0,0,1,9,1
5,9.820294,79.848919,74,1308.0,6,2,2,1,0,2171,72.9,1,28.8,208.7,0.72,0.129,-0.207,0,1,75,5.93,7.18,21.72,0,0,1,9,1
24,9.65268,80.757262,33,7827.3,6,1,0,0,1,10,1.0,0,52.9,258.7,0.204,0.027,0.054,0,0,69,0.33,1.11,33.06,0,0,1,9,1
15,7.307858,79.721561,1473,880.1,5,1,4,0,0,1164,1.0,1,32.8,139.4,0.251,0.109,-0.009,1,0,41,6.06,7.65,18.34,0,0,1,9,1
0,6.048567,80.217983,84,1433.6,0,2,4,0,1,543,2.5,0,66.4,170.1,0.625,-0.17,0.055,1,0,76,12.45,4.14,17.09,0,0,1,9,1
14,8.266008,81.307851,175,1662.3,3,2,3,0,0,867,1.0,0,30.9,279.5,0.591,0.035,0.199,0,0,42,29.53,4.05,26.32,0,0,1,9,1
9,9.663973,80.902717,50,2934.9,0,3,4,0,1,613,9.8,0,20.2,43.9,0.649,-0.203,-0.037,1,0,52,0.52,27.61,4.48,0,0,1,9,1
23,8.672515,79.847703,45,1863.3,3,2,3,0,3,142,16.2,0,72.8,306.9,0.369,0.524,-0.111,1,0,48,8.04,14.31,36.68,0,0,1,9,1
24,9.452662,80.533001,34,946.2,4,1,4,0,3,840,1.0,0,31.9,332.7,0.27,-0.119,-0.1,1,0,51,17.95,9.32,37.96,0,0,1,9,1
2,8.947233,81.240706,1708,3015.3,4,0,4,2,1,344,12.3,0,119.6,308.1,0.901,-0.543,-0.096,1,0,40,6.67,7.56,35.24,0,0,1,9,1
23,7.300069,80.058595,41,4781.8,2,1,1,0,0,10,46.9,0,255.7,220.7,0.394,0.152,0.118,0,0,15,10.67,16.34,53.57,1,196521,0,10,1
21,6.397384,80.180789,163,361.9,0,1,0,0,0,575,13.0,0,171.8,89.5,0.726,0.363,-0.062,1,1,55,7.08,0.2,35.03,0,0,1,9,1
20,6.905317,80.949672,47,361.9,0,1,0,0,2,234,36.3,0,242.1,60.7,0.335,-0.118,-0.403,1,0,29,5.05,5.88,45.73,0,0,0,11,1
20,7.811871,80.920893,117,135.9,2,1,4,0,0,373,47.1,0,32.6,140.6,0.336,0.584,0.318,0,0,27,8.92,0.12,31.27,0,0,0,10,1
